16.8487 	WARNING 	Movie2 stim could not be imported and won't be available
78.2021 	DATA 	Keypress: 5
78.2428 	Level Condition: 0 	25
78.2563 	Level image=bottled_water.jpg 	25
80.2262 	Level injecting via pump at address 0 	25
82.2345 	DATA 	Keypress: 5
82.2349 	DATA 	Keypress: 5
82.2352 	DATA 	Keypress: 5
86.2396 	DATA 	Keypress: 5
86.2400 	DATA 	Keypress: 5
86.2402 	DATA 	Keypress: 5
88.2256 	DATA 	Keypress: 5
88.2260 	DATA 	Keypress: 5
88.2487 	Level Condition: 1 	25
88.2549 	Level image=bottled_water.jpg 	25
90.2233 	Level injecting via pump at address 1 	25
92.2350 	DATA 	Keypress: 5
92.2517 	DATA 	Keypress: 5
92.2522 	DATA 	Keypress: 5
92.2528 	DATA 	Keypress: 5
96.2387 	DATA 	Keypress: 5
96.2390 	DATA 	Keypress: 5
96.2394 	DATA 	Keypress: 5
98.2256 	DATA 	Keypress: 5
98.2260 	DATA 	Keypress: 5
98.2341 	Level Condition: 0 	25
98.2390 	Level image=bottled_water.jpg 	25
100.2233 	Level injecting via pump at address 0 	25
102.2355 	DATA 	Keypress: 5
102.2359 	DATA 	Keypress: 5
102.2362 	DATA 	Keypress: 5
106.2398 	DATA 	Keypress: 5
106.2401 	DATA 	Keypress: 5
106.2404 	DATA 	Keypress: 5
106.2407 	DATA 	Keypress: 5
108.2257 	DATA 	Keypress: 5
108.2410 	Level Condition: 3 	25
108.2444 	Level image=tampico.jpg 	25
110.2233 	Level injecting via pump at address 0 	25
112.2381 	DATA 	Keypress: 5
112.2385 	DATA 	Keypress: 5
112.2387 	DATA 	Keypress: 5
112.2392 	DATA 	Keypress: 5
116.2387 	DATA 	Keypress: 5
116.2390 	DATA 	Keypress: 5
116.2394 	DATA 	Keypress: 5
118.2255 	DATA 	Keypress: 5
118.2258 	DATA 	Keypress: 5
118.2366 	Level Condition: 2 	25
118.2398 	Level image=tampico.jpg 	25
120.2233 	Level injecting via pump at address 1 	25
122.2349 	DATA 	Keypress: 5
122.2352 	DATA 	Keypress: 5
122.2355 	DATA 	Keypress: 5
126.2389 	DATA 	Keypress: 5
126.2529 	DATA 	Keypress: 5
126.2533 	DATA 	Keypress: 5
126.2536 	DATA 	Keypress: 5
128.2257 	DATA 	Keypress: 5
128.2261 	DATA 	Keypress: 5
128.2364 	Level Condition: 2 	25
128.2396 	Level image=tampico.jpg 	25
130.2234 	Level injecting via pump at address 1 	25
132.2349 	DATA 	Keypress: 5
132.2353 	DATA 	Keypress: 5
132.2355 	DATA 	Keypress: 5
136.2460 	DATA 	Keypress: 5
136.2464 	DATA 	Keypress: 5
136.2466 	DATA 	Keypress: 5
136.2471 	DATA 	Keypress: 5
138.2256 	DATA 	Keypress: 5
138.2409 	Level Condition: 3 	25
138.2447 	Level image=tampico.jpg 	25
140.2233 	Level injecting via pump at address 0 	25
142.2350 	DATA 	Keypress: 5
142.2567 	DATA 	Keypress: 5
142.2572 	DATA 	Keypress: 5
142.2580 	DATA 	Keypress: 5
146.2388 	DATA 	Keypress: 5
146.2391 	DATA 	Keypress: 5
146.2394 	DATA 	Keypress: 5
148.2256 	DATA 	Keypress: 5
148.2259 	DATA 	Keypress: 5
148.2416 	Level Condition: 2 	25
148.2450 	Level image=tampico.jpg 	25
150.2233 	Level injecting via pump at address 1 	25
152.2350 	DATA 	Keypress: 5
152.2353 	DATA 	Keypress: 5
152.2356 	DATA 	Keypress: 5
156.2390 	DATA 	Keypress: 5
156.2393 	DATA 	Keypress: 5
156.2396 	DATA 	Keypress: 5
156.2398 	DATA 	Keypress: 5
158.2255 	DATA 	Keypress: 5
158.2428 	Level Condition: 1 	25
158.2491 	Level image=bottled_water.jpg 	25
158.2586 	DATA 	Keypress: 5
160.2233 	Level injecting via pump at address 1 	25
162.2353 	DATA 	Keypress: 5
162.2356 	DATA 	Keypress: 5
162.2361 	DATA 	Keypress: 5
166.2387 	DATA 	Keypress: 5
166.2390 	DATA 	Keypress: 5
166.2393 	DATA 	Keypress: 5
168.2256 	DATA 	Keypress: 5
168.2259 	DATA 	Keypress: 5
168.2400 	Level Condition: 0 	25
168.2452 	Level image=bottled_water.jpg 	25
170.2233 	Level injecting via pump at address 0 	25
172.2354 	DATA 	Keypress: 5
172.2357 	DATA 	Keypress: 5
172.2360 	DATA 	Keypress: 5
172.2364 	DATA 	Keypress: 5
176.2729 	DATA 	Keypress: 5
176.2949 	DATA 	Keypress: 5
176.2955 	DATA 	Keypress: 5
178.2256 	DATA 	Keypress: 5
178.2259 	DATA 	Keypress: 5
178.2451 	Level Condition: 1 	25
178.2508 	Level image=bottled_water.jpg 	25
180.2233 	Level injecting via pump at address 1 	25
182.2392 	DATA 	Keypress: 5
182.2395 	DATA 	Keypress: 5
182.2399 	DATA 	Keypress: 5
186.2426 	DATA 	Keypress: 5
186.2429 	DATA 	Keypress: 5
186.2433 	DATA 	Keypress: 5
186.2436 	DATA 	Keypress: 5
188.2255 	DATA 	Keypress: 5
188.2464 	Level Condition: 0 	25
188.2521 	Level image=bottled_water.jpg 	25
190.2233 	Level injecting via pump at address 0 	25
192.2352 	DATA 	Keypress: 5
192.2468 	DATA 	Keypress: 5
192.2472 	DATA 	Keypress: 5
192.2477 	DATA 	Keypress: 5
196.2386 	DATA 	Keypress: 5
196.2390 	DATA 	Keypress: 5
196.2393 	DATA 	Keypress: 5
198.2256 	DATA 	Keypress: 5
198.2259 	DATA 	Keypress: 5
198.2382 	Level Condition: 2 	25
198.2417 	Level image=tampico.jpg 	25
200.2234 	Level injecting via pump at address 1 	25
202.2350 	DATA 	Keypress: 5
202.2353 	DATA 	Keypress: 5
202.2356 	DATA 	Keypress: 5
206.2389 	DATA 	Keypress: 5
206.2414 	DATA 	Keypress: 5
206.2418 	DATA 	Keypress: 5
206.2421 	DATA 	Keypress: 5
208.2256 	DATA 	Keypress: 5
208.2282 	DATA 	Keypress: 5
208.2444 	Level Condition: 0 	25
208.2506 	Level image=bottled_water.jpg 	25
210.2233 	Level injecting via pump at address 0 	25
212.2352 	DATA 	Keypress: 5
212.2355 	DATA 	Keypress: 5
212.2358 	DATA 	Keypress: 5
216.2387 	DATA 	Keypress: 5
216.2391 	DATA 	Keypress: 5
216.2394 	DATA 	Keypress: 5
218.2257 	DATA 	Keypress: 5
218.2260 	DATA 	Keypress: 5
218.2496 	Level Condition: 3 	25
218.2533 	Level image=tampico.jpg 	25
220.2233 	Level injecting via pump at address 0 	25
222.2351 	DATA 	Keypress: 5
222.2354 	DATA 	Keypress: 5
222.2357 	DATA 	Keypress: 5
222.2362 	DATA 	Keypress: 5
226.2389 	DATA 	Keypress: 5
226.2508 	DATA 	Keypress: 5
226.2513 	DATA 	Keypress: 5
228.2254 	DATA 	Keypress: 5
228.2257 	DATA 	Keypress: 5
228.2365 	Level Condition: 3 	25
228.2392 	Level image=tampico.jpg 	25
230.2233 	Level injecting via pump at address 0 	25
232.2355 	DATA 	Keypress: 5
232.2358 	DATA 	Keypress: 5
232.2361 	DATA 	Keypress: 5
236.2392 	DATA 	Keypress: 5
236.2395 	DATA 	Keypress: 5
236.2399 	DATA 	Keypress: 5
236.2403 	DATA 	Keypress: 5
238.2254 	DATA 	Keypress: 5
238.2431 	Level Condition: 0 	25
238.2492 	Level image=bottled_water.jpg 	25
240.2234 	Level injecting via pump at address 0 	25
242.2350 	DATA 	Keypress: 5
242.2452 	DATA 	Keypress: 5
242.2456 	DATA 	Keypress: 5
242.2463 	DATA 	Keypress: 5
246.2386 	DATA 	Keypress: 5
246.2389 	DATA 	Keypress: 5
246.2417 	DATA 	Keypress: 5
248.2255 	DATA 	Keypress: 5
248.2258 	DATA 	Keypress: 5
248.2340 	Level Condition: 2 	25
248.2370 	Level image=tampico.jpg 	25
250.2233 	Level injecting via pump at address 1 	25
252.2353 	DATA 	Keypress: 5
252.2357 	DATA 	Keypress: 5
252.2359 	DATA 	Keypress: 5
252.2364 	DATA 	Keypress: 5
256.2393 	DATA 	Keypress: 5
256.2396 	DATA 	Keypress: 5
256.2400 	DATA 	Keypress: 5
258.2257 	DATA 	Keypress: 5
258.2283 	DATA 	Keypress: 5
258.2531 	Level Condition: 0 	25
258.2593 	Level image=bottled_water.jpg 	25
260.2233 	Level injecting via pump at address 0 	25
262.2355 	DATA 	Keypress: 5
262.2359 	DATA 	Keypress: 5
262.2361 	DATA 	Keypress: 5
266.2392 	DATA 	Keypress: 5
266.2395 	DATA 	Keypress: 5
266.2398 	DATA 	Keypress: 5
266.2401 	DATA 	Keypress: 5
268.2256 	DATA 	Keypress: 5
268.2378 	Level Condition: 2 	25
268.2412 	Level image=tampico.jpg 	25
270.2233 	Level injecting via pump at address 1 	25
272.2351 	DATA 	Keypress: 5
272.2354 	DATA 	Keypress: 5
272.2375 	DATA 	Keypress: 5
272.2381 	DATA 	Keypress: 5
276.2386 	DATA 	Keypress: 5
276.2436 	DATA 	Keypress: 5
276.2439 	DATA 	Keypress: 5
278.2257 	DATA 	Keypress: 5
278.2260 	DATA 	Keypress: 5
278.2422 	Level Condition: 2 	25
278.2455 	Level image=tampico.jpg 	25
280.2233 	Level injecting via pump at address 1 	25
282.2350 	DATA 	Keypress: 5
282.2353 	DATA 	Keypress: 5
282.2356 	DATA 	Keypress: 5
286.2390 	DATA 	Keypress: 5
286.2393 	DATA 	Keypress: 5
286.2396 	DATA 	Keypress: 5
286.2399 	DATA 	Keypress: 5
288.2256 	DATA 	Keypress: 5
288.2259 	DATA 	Keypress: 5
288.2410 	Level Condition: 0 	25
288.2472 	Level image=bottled_water.jpg 	25
290.2233 	Level injecting via pump at address 0 	25
292.2351 	DATA 	Keypress: 5
292.2355 	DATA 	Keypress: 5
292.2543 	DATA 	Keypress: 5
296.2391 	DATA 	Keypress: 5
296.2395 	DATA 	Keypress: 5
296.2398 	DATA 	Keypress: 5
298.2258 	DATA 	Keypress: 5
298.2261 	DATA 	Keypress: 5
298.2406 	Level Condition: 1 	25
298.2463 	Level image=bottled_water.jpg 	25
300.2233 	Level injecting via pump at address 1 	25
302.2353 	DATA 	Keypress: 5
302.2357 	DATA 	Keypress: 5
302.2359 	DATA 	Keypress: 5
302.2364 	DATA 	Keypress: 5
306.2387 	DATA 	Keypress: 5
306.2391 	DATA 	Keypress: 5
306.2394 	DATA 	Keypress: 5
308.2256 	DATA 	Keypress: 5
308.2282 	DATA 	Keypress: 5
308.2434 	Level Condition: 2 	25
308.2477 	Level image=tampico.jpg 	25
310.2233 	Level injecting via pump at address 1 	25
312.2369 	DATA 	Keypress: 5
312.2372 	DATA 	Keypress: 5
312.2375 	DATA 	Keypress: 5
316.2385 	DATA 	Keypress: 5
316.2388 	DATA 	Keypress: 5
316.2392 	DATA 	Keypress: 5
316.2395 	DATA 	Keypress: 5
318.2255 	DATA 	Keypress: 5
2806.0380 	DATA 	Keypress: 5
2806.0744 	Level Condition: 1 	25
2806.0839 	Level image=bottled_water.jpg 	25
2808.0604 	Level injecting via pump at address 1 	25
2810.0683 	DATA 	Keypress: 5
2810.0686 	DATA 	Keypress: 5
2810.0689 	DATA 	Keypress: 5
2814.0736 	DATA 	Keypress: 5
2814.0740 	DATA 	Keypress: 5
2814.0743 	DATA 	Keypress: 5
2816.0583 	DATA 	Keypress: 5
2816.0587 	DATA 	Keypress: 5
2816.0736 	Level Condition: 0 	25
2816.0793 	Level image=bottled_water.jpg 	25
2818.0561 	Level injecting via pump at address 0 	25
2820.0846 	DATA 	Keypress: 5
2820.0852 	DATA 	Keypress: 5
2820.0856 	DATA 	Keypress: 5
2820.0863 	DATA 	Keypress: 5
2824.0736 	DATA 	Keypress: 5
2824.0740 	DATA 	Keypress: 5
2824.0744 	DATA 	Keypress: 5
2826.0582 	DATA 	Keypress: 5
2826.0585 	DATA 	Keypress: 5
2826.0811 	Level Condition: 2 	25
2826.0861 	Level image=tampico.jpg 	25
2828.0562 	Level injecting via pump at address 1 	25
2830.0679 	DATA 	Keypress: 5
2830.0684 	DATA 	Keypress: 5
2830.0688 	DATA 	Keypress: 5
2834.0721 	DATA 	Keypress: 5
2834.0806 	DATA 	Keypress: 5
2834.0809 	DATA 	Keypress: 5
2834.0812 	DATA 	Keypress: 5
2836.0586 	DATA 	Keypress: 5
2836.0676 	Level Condition: 0 	25
2836.0729 	Level image=bottled_water.jpg 	25
2838.0559 	Level injecting via pump at address 0 	25
2840.0689 	DATA 	Keypress: 5
2840.0692 	DATA 	Keypress: 5
2840.0695 	DATA 	Keypress: 5
2840.0699 	DATA 	Keypress: 5
2844.0738 	DATA 	Keypress: 5
2844.0742 	DATA 	Keypress: 5
2844.0744 	DATA 	Keypress: 5
2846.0582 	DATA 	Keypress: 5
2846.0587 	DATA 	Keypress: 5
2846.0693 	Level Condition: 1 	25
2846.0745 	Level image=bottled_water.jpg 	25
2848.0558 	Level injecting via pump at address 1 	25
2850.0881 	DATA 	Keypress: 5
2850.0885 	DATA 	Keypress: 5
2850.0888 	DATA 	Keypress: 5
2854.0712 	DATA 	Keypress: 5
2854.0716 	DATA 	Keypress: 5
2854.0719 	DATA 	Keypress: 5
2854.0722 	DATA 	Keypress: 5
2856.0578 	DATA 	Keypress: 5
2856.0582 	DATA 	Keypress: 5
2856.0726 	Level Condition: 2 	25
2856.0758 	Level image=tampico.jpg 	25
2858.0558 	Level injecting via pump at address 1 	25
2860.0674 	DATA 	Keypress: 5
2860.0678 	DATA 	Keypress: 5
2860.0681 	DATA 	Keypress: 5
2864.0718 	DATA 	Keypress: 5
2864.0722 	DATA 	Keypress: 5
2864.0724 	DATA 	Keypress: 5
2864.0756 	DATA 	Keypress: 5
2866.0600 	DATA 	Keypress: 5
2866.0728 	Level Condition: 0 	25
2866.0784 	Level image=bottled_water.jpg 	25
2868.0558 	Level injecting via pump at address 0 	25
2870.0687 	DATA 	Keypress: 5
2870.0691 	DATA 	Keypress: 5
2870.0693 	DATA 	Keypress: 5
2870.0698 	DATA 	Keypress: 5
2874.0713 	DATA 	Keypress: 5
2874.0716 	DATA 	Keypress: 5
2874.0719 	DATA 	Keypress: 5
2876.0579 	DATA 	Keypress: 5
2876.0583 	DATA 	Keypress: 5
2876.0741 	Level Condition: 0 	25
2876.0802 	Level image=bottled_water.jpg 	25
2878.0558 	Level injecting via pump at address 0 	25
2880.0676 	DATA 	Keypress: 5
2880.0680 	DATA 	Keypress: 5
2880.0683 	DATA 	Keypress: 5
2884.0713 	DATA 	Keypress: 5
2884.0928 	DATA 	Keypress: 5
2884.0934 	DATA 	Keypress: 5
2884.0939 	DATA 	Keypress: 5
2886.0579 	DATA 	Keypress: 5
2886.0764 	Level Condition: 0 	25
2886.0820 	Level image=bottled_water.jpg 	25
2886.1041 	DATA 	Keypress: 5
2888.0557 	Level injecting via pump at address 0 	25
2890.0673 	DATA 	Keypress: 5
2890.0677 	DATA 	Keypress: 5
2890.0679 	DATA 	Keypress: 5
2894.0945 	DATA 	Keypress: 5
2894.0952 	DATA 	Keypress: 5
2894.0956 	DATA 	Keypress: 5
2896.0579 	DATA 	Keypress: 5
2896.0582 	DATA 	Keypress: 5
2896.0780 	Level Condition: 3 	25
2896.0818 	Level image=tampico.jpg 	25
2898.0558 	Level injecting via pump at address 0 	25
2900.0675 	DATA 	Keypress: 5
2900.0679 	DATA 	Keypress: 5
2900.0681 	DATA 	Keypress: 5
2900.0712 	DATA 	Keypress: 5
2904.0868 	DATA 	Keypress: 5
2904.0872 	DATA 	Keypress: 5
2904.0876 	DATA 	Keypress: 5
2906.0580 	DATA 	Keypress: 5
2906.0583 	DATA 	Keypress: 5
2906.0744 	Level Condition: 3 	25
2906.0776 	Level image=tampico.jpg 	25
2908.0558 	Level injecting via pump at address 0 	25
2910.0675 	DATA 	Keypress: 5
2910.0679 	DATA 	Keypress: 5
2910.0682 	DATA 	Keypress: 5
2914.0712 	DATA 	Keypress: 5
2914.0715 	DATA 	Keypress: 5
2914.0718 	DATA 	Keypress: 5
2914.0720 	DATA 	Keypress: 5
2916.0603 	DATA 	Keypress: 5
2916.0779 	Level Condition: 2 	25
2916.0813 	Level image=tampico.jpg 	25
2918.0558 	Level injecting via pump at address 1 	25
2920.0703 	DATA 	Keypress: 5
2920.0708 	DATA 	Keypress: 5
2920.0736 	DATA 	Keypress: 5
2920.0741 	DATA 	Keypress: 5
2924.0715 	DATA 	Keypress: 5
2924.0745 	DATA 	Keypress: 5
2924.0748 	DATA 	Keypress: 5
2926.0583 	DATA 	Keypress: 5
2926.0586 	DATA 	Keypress: 5
2926.0817 	Level Condition: 1 	25
2926.0875 	Level image=bottled_water.jpg 	25
2928.0557 	Level injecting via pump at address 1 	25
2930.0675 	DATA 	Keypress: 5
2930.0679 	DATA 	Keypress: 5
2930.0681 	DATA 	Keypress: 5
2934.0759 	DATA 	Keypress: 5
2934.0786 	DATA 	Keypress: 5
2934.0789 	DATA 	Keypress: 5
2934.0792 	DATA 	Keypress: 5
2936.0578 	DATA 	Keypress: 5
2936.0582 	DATA 	Keypress: 5
2936.0705 	Level Condition: 0 	25
2936.0756 	Level image=bottled_water.jpg 	25
2938.0558 	Level injecting via pump at address 0 	25
2940.0677 	DATA 	Keypress: 5
2940.0682 	DATA 	Keypress: 5
2940.0840 	DATA 	Keypress: 5
2944.0706 	DATA 	Keypress: 5
2944.0710 	DATA 	Keypress: 5
2944.0713 	DATA 	Keypress: 5
2946.0577 	DATA 	Keypress: 5
2946.0582 	DATA 	Keypress: 5
2946.0767 	Level Condition: 2 	25
2946.0804 	Level image=tampico.jpg 	25
2948.0558 	Level injecting via pump at address 1 	25
2950.0680 	DATA 	Keypress: 5
2950.0684 	DATA 	Keypress: 5
2950.0686 	DATA 	Keypress: 5
2950.0691 	DATA 	Keypress: 5
2954.0713 	DATA 	Keypress: 5
2954.0836 	DATA 	Keypress: 5
2954.0840 	DATA 	Keypress: 5
2956.0577 	DATA 	Keypress: 5
2956.0581 	DATA 	Keypress: 5
2956.0673 	Level Condition: 2 	25
2956.0700 	Level image=tampico.jpg 	25
2958.0559 	Level injecting via pump at address 1 	25
2960.0678 	DATA 	Keypress: 5
2960.0682 	DATA 	Keypress: 5
2960.0684 	DATA 	Keypress: 5
2964.0711 	DATA 	Keypress: 5
2964.0714 	DATA 	Keypress: 5
2964.0717 	DATA 	Keypress: 5
2964.0721 	DATA 	Keypress: 5
2966.0578 	DATA 	Keypress: 5
2966.0869 	Level Condition: 3 	25
2966.0902 	Level image=tampico.jpg 	25
2968.0557 	Level injecting via pump at address 0 	25
2970.0676 	DATA 	Keypress: 5
2970.0680 	DATA 	Keypress: 5
2970.0682 	DATA 	Keypress: 5
2970.0687 	DATA 	Keypress: 5
2974.0716 	DATA 	Keypress: 5
2974.0720 	DATA 	Keypress: 5
2974.0722 	DATA 	Keypress: 5
2976.0580 	DATA 	Keypress: 5
2976.0586 	DATA 	Keypress: 5
2976.0703 	Level Condition: 1 	25
2976.0760 	Level image=bottled_water.jpg 	25
2978.0558 	Level injecting via pump at address 1 	25
2980.0680 	DATA 	Keypress: 5
2980.0684 	DATA 	Keypress: 5
2980.0687 	DATA 	Keypress: 5
2980.0691 	DATA 	Keypress: 5
2984.0717 	DATA 	Keypress: 5
2984.0721 	DATA 	Keypress: 5
2984.0726 	DATA 	Keypress: 5
2986.0577 	DATA 	Keypress: 5
2986.0581 	DATA 	Keypress: 5
2986.0709 	Level Condition: 0 	25
2986.0764 	Level image=bottled_water.jpg 	25
2988.0558 	Level injecting via pump at address 0 	25
2990.0678 	DATA 	Keypress: 5
2990.0682 	DATA 	Keypress: 5
2990.0806 	DATA 	Keypress: 5
2994.0750 	DATA 	Keypress: 5
2994.0753 	DATA 	Keypress: 5
