18.5389 	WARNING 	Movie2 stim could not be imported and won't be available
43.1435 	DATA 	Keypress: 1
76.2313 	DATA 	Keypress: 5
76.2730 	Level Condition: 0 	25
76.2954 	Level image=bottled_water.jpg 	25
78.2551 	Level injecting via pump at address 0 	25
80.2633 	DATA 	Keypress: 5
80.2638 	DATA 	Keypress: 5
80.2641 	DATA 	Keypress: 5
84.2788 	DATA 	Keypress: 5
84.2792 	DATA 	Keypress: 5
84.2795 	DATA 	Keypress: 5
86.2546 	DATA 	Keypress: 5
86.2549 	DATA 	Keypress: 5
86.2812 	Level Condition: 2 	25
86.2874 	Level image=tampico.jpg 	25
88.2523 	Level injecting via pump at address 1 	25
90.2637 	DATA 	Keypress: 5
90.2641 	DATA 	Keypress: 5
90.2644 	DATA 	Keypress: 5
90.2649 	DATA 	Keypress: 5
94.2800 	DATA 	Keypress: 5
94.2805 	DATA 	Keypress: 5
94.2808 	DATA 	Keypress: 5
96.2547 	DATA 	Keypress: 5
96.2550 	DATA 	Keypress: 5
96.2795 	Level Condition: 2 	25
96.2835 	Level image=tampico.jpg 	25
98.2523 	Level injecting via pump at address 1 	25
100.2642 	DATA 	Keypress: 5
100.2645 	DATA 	Keypress: 5
100.2648 	DATA 	Keypress: 5
104.2829 	DATA 	Keypress: 5
104.2834 	DATA 	Keypress: 5
104.2838 	DATA 	Keypress: 5
104.2842 	DATA 	Keypress: 5
106.2546 	DATA 	Keypress: 5
106.2639 	Level Condition: 0 	25
106.2699 	Level image=bottled_water.jpg 	25
108.2524 	Level injecting via pump at address 0 	25
110.2640 	DATA 	Keypress: 5
110.2644 	DATA 	Keypress: 5
110.2647 	DATA 	Keypress: 5
110.2651 	DATA 	Keypress: 5
114.2839 	DATA 	Keypress: 5
114.2843 	DATA 	Keypress: 5
114.2847 	DATA 	Keypress: 5
116.2546 	DATA 	Keypress: 5
116.2549 	DATA 	Keypress: 5
116.2647 	Level Condition: 2 	25
116.2678 	Level image=tampico.jpg 	25
118.2523 	Level injecting via pump at address 1 	25
120.2641 	DATA 	Keypress: 5
120.2645 	DATA 	Keypress: 5
120.2648 	DATA 	Keypress: 5
124.2805 	DATA 	Keypress: 5
124.2810 	DATA 	Keypress: 5
124.2813 	DATA 	Keypress: 5
124.2818 	DATA 	Keypress: 5
126.2546 	DATA 	Keypress: 5
126.2549 	DATA 	Keypress: 5
126.2643 	Level Condition: 0 	25
126.2694 	Level image=bottled_water.jpg 	25
128.2523 	Level injecting via pump at address 0 	25
130.2642 	DATA 	Keypress: 5
130.2646 	DATA 	Keypress: 5
130.2649 	DATA 	Keypress: 5
134.2850 	DATA 	Keypress: 5
134.2855 	DATA 	Keypress: 5
134.2858 	DATA 	Keypress: 5
134.2864 	DATA 	Keypress: 5
136.2547 	DATA 	Keypress: 5
136.2673 	Level Condition: 3 	25
136.2709 	Level image=tampico.jpg 	25
138.2523 	Level injecting via pump at address 0 	25
140.2671 	DATA 	Keypress: 5
140.2675 	DATA 	Keypress: 5
140.2678 	DATA 	Keypress: 5
140.2683 	DATA 	Keypress: 5
144.2677 	DATA 	Keypress: 5
144.2680 	DATA 	Keypress: 5
144.2683 	DATA 	Keypress: 5
146.2569 	DATA 	Keypress: 5
146.2572 	DATA 	Keypress: 5
146.2657 	Level Condition: 1 	25
146.2715 	Level image=bottled_water.jpg 	25
148.2523 	Level injecting via pump at address 1 	25
150.2635 	DATA 	Keypress: 5
150.2639 	DATA 	Keypress: 5
150.2641 	DATA 	Keypress: 5
154.2674 	DATA 	Keypress: 5
