3059.4986 	WARNING 	Movie2 stim could not be imported and won't be available
3179.8063 	DATA 	Keypress: 5
3179.8453 	Level Condition: 2 	25
3179.8574 	Level image=tampico.jpg 	25
3181.8297 	Level injecting via pump at address 1 	25
3183.8493 	DATA 	Keypress: 5
3183.8498 	DATA 	Keypress: 5
3183.8501 	DATA 	Keypress: 5
3187.8462 	DATA 	Keypress: 5
3187.8466 	DATA 	Keypress: 5
3187.8493 	DATA 	Keypress: 5
3189.8291 	DATA 	Keypress: 5
3189.8295 	DATA 	Keypress: 5
3189.8509 	Level Condition: 3 	25
3189.8548 	Level image=tampico.jpg 	25
3191.8269 	Level injecting via pump at address 0 	25
3193.8420 	DATA 	Keypress: 5
3193.8424 	DATA 	Keypress: 5
3193.8427 	DATA 	Keypress: 5
3193.8433 	DATA 	Keypress: 5
3197.8424 	DATA 	Keypress: 5
3197.8427 	DATA 	Keypress: 5
3197.8430 	DATA 	Keypress: 5
3199.8291 	DATA 	Keypress: 5
3199.8567 	Level Condition: 3 	25
3199.8604 	Level image=tampico.jpg 	25
3201.8269 	Level injecting via pump at address 0 	25
3209.8404 	Level Condition: 3 	25
3209.8435 	Level image=tampico.jpg 	25
3211.8270 	Level injecting via pump at address 0 	25
3219.8427 	Level Condition: 1 	25
3219.8523 	Level image=bottled_water.jpg 	25
3221.8269 	Level injecting via pump at address 1 	25
3229.8429 	Level Condition: 0 	25
3229.8491 	Level image=bottled_water.jpg 	25
3231.8269 	Level injecting via pump at address 0 	25
3239.8436 	Level Condition: 2 	25
3239.8475 	Level image=tampico.jpg 	25
3241.8269 	Level injecting via pump at address 1 	25
3249.8474 	Level Condition: 2 	25
3249.8507 	Level image=tampico.jpg 	25
3251.8269 	Level injecting via pump at address 1 	25
3259.8466 	Level Condition: 0 	25
3259.8526 	Level image=bottled_water.jpg 	25
3261.8269 	Level injecting via pump at address 0 	25
3269.8402 	Level Condition: 2 	25
3269.8433 	Level image=tampico.jpg 	25
3271.8270 	Level injecting via pump at address 1 	25
3279.8474 	Level Condition: 0 	25
3279.8534 	Level image=bottled_water.jpg 	25
3281.8269 	Level injecting via pump at address 0 	25
3289.8493 	Level Condition: 0 	25
3289.8553 	Level image=bottled_water.jpg 	25
3291.8269 	Level injecting via pump at address 0 	25
3299.8407 	Level Condition: 1 	25
3299.8455 	Level image=bottled_water.jpg 	25
3301.8269 	Level injecting via pump at address 1 	25
3309.8443 	Level Condition: 2 	25
3309.8482 	Level image=tampico.jpg 	25
3311.8270 	Level injecting via pump at address 1 	25
3319.8513 	Level Condition: 0 	25
3319.8568 	Level image=bottled_water.jpg 	25
3321.8269 	Level injecting via pump at address 0 	25
3329.8369 	Level Condition: 1 	25
3329.8417 	Level image=bottled_water.jpg 	25
3331.8269 	Level injecting via pump at address 1 	25
3339.8436 	Level Condition: 0 	25
3339.8494 	Level image=bottled_water.jpg 	25
3341.8269 	Level injecting via pump at address 0 	25
3349.8377 	Level Condition: 1 	25
3349.8426 	Level image=bottled_water.jpg 	25
3351.8270 	Level injecting via pump at address 1 	25
3359.8388 	Level Condition: 0 	25
3359.8437 	Level image=bottled_water.jpg 	25
3361.8269 	Level injecting via pump at address 0 	25
3369.8390 	Level Condition: 0 	25
3369.8439 	Level image=bottled_water.jpg 	25
3371.8270 	Level injecting via pump at address 0 	25
3379.8419 	Level Condition: 2 	25
3379.8453 	Level image=tampico.jpg 	25
3381.8269 	Level injecting via pump at address 1 	25
3389.8436 	Level Condition: 2 	25
3389.8474 	Level image=tampico.jpg 	25
3391.8270 	Level injecting via pump at address 1 	25
3399.8407 	Level Condition: 3 	25
3399.8434 	Level image=tampico.jpg 	25
3401.8269 	Level injecting via pump at address 0 	25
3409.8446 	Level Condition: 2 	25
3409.8482 	Level image=tampico.jpg 	25
3411.8269 	Level injecting via pump at address 1 	25
86343.3829 	DATA 	Keypress: 5
86343.4212 	Level Condition: 1 	25
86343.4356 	Level image=bottled_water.jpg 	25
86345.4135 	Level injecting via pump at address 1 	25
86347.4215 	DATA 	Keypress: 5
86347.4219 	DATA 	Keypress: 5
86347.4222 	DATA 	Keypress: 5
86351.4263 	DATA 	Keypress: 5
86351.4362 	DATA 	Keypress: 5
86351.4366 	DATA 	Keypress: 5
86353.4126 	DATA 	Keypress: 5
86353.4130 	DATA 	Keypress: 5
86353.4377 	Level Condition: 2 	25
86353.4431 	Level image=tampico.jpg 	25
86355.4107 	Level injecting via pump at address 1 	25
86357.4218 	DATA 	Keypress: 5
86357.4222 	DATA 	Keypress: 5
86357.4225 	DATA 	Keypress: 5
86357.4229 	DATA 	Keypress: 5
86361.4258 	DATA 	Keypress: 5
86361.4261 	DATA 	Keypress: 5
86361.4292 	DATA 	Keypress: 5
86363.4128 	DATA 	Keypress: 5
86363.4131 	DATA 	Keypress: 5
