15.0773 	WARNING 	Movie2 stim could not be imported and won't be available
62.9767 	DATA 	Keypress: 5
63.0160 	Level Condition: 0 	25
63.0256 	Level image=bottled_water.jpg 	25
64.9972 	Level injecting via pump at address 0 	25
67.0056 	DATA 	Keypress: 5
67.0060 	DATA 	Keypress: 5
67.0063 	DATA 	Keypress: 5
71.0113 	DATA 	Keypress: 5
71.0117 	DATA 	Keypress: 5
71.0236 	DATA 	Keypress: 5
72.9969 	DATA 	Keypress: 5
72.9972 	DATA 	Keypress: 5
73.0107 	Level Condition: 3 	25
73.0147 	Level image=tampico.jpg 	25
74.9946 	Level injecting via pump at address 0 	25
77.0058 	DATA 	Keypress: 5
77.0062 	DATA 	Keypress: 5
77.0064 	DATA 	Keypress: 5
77.0068 	DATA 	Keypress: 5
81.0094 	DATA 	Keypress: 5
81.0097 	DATA 	Keypress: 5
81.0101 	DATA 	Keypress: 5
82.9967 	DATA 	Keypress: 5
82.9990 	DATA 	Keypress: 5
83.0102 	Level Condition: 0 	25
83.0159 	Level image=bottled_water.jpg 	25
84.9945 	Level injecting via pump at address 0 	25
87.0062 	DATA 	Keypress: 5
87.0066 	DATA 	Keypress: 5
87.0098 	DATA 	Keypress: 5
91.0102 	DATA 	Keypress: 5
91.0105 	DATA 	Keypress: 5
91.0108 	DATA 	Keypress: 5
91.0111 	DATA 	Keypress: 5
92.9968 	DATA 	Keypress: 5
93.0133 	Level Condition: 0 	25
93.0224 	Level image=bottled_water.jpg 	25
94.9946 	Level injecting via pump at address 0 	25
97.0063 	DATA 	Keypress: 5
97.0067 	DATA 	Keypress: 5
97.0069 	DATA 	Keypress: 5
97.0074 	DATA 	Keypress: 5
101.0095 	DATA 	Keypress: 5
101.0099 	DATA 	Keypress: 5
101.0102 	DATA 	Keypress: 5
102.9968 	DATA 	Keypress: 5
102.9971 	DATA 	Keypress: 5
103.0082 	Level Condition: 3 	25
103.0116 	Level image=tampico.jpg 	25
104.9945 	Level injecting via pump at address 0 	25
107.0067 	DATA 	Keypress: 5
107.0249 	DATA 	Keypress: 5
107.0253 	DATA 	Keypress: 5
111.0139 	DATA 	Keypress: 5
111.0142 	DATA 	Keypress: 5
111.0147 	DATA 	Keypress: 5
111.0152 	DATA 	Keypress: 5
112.9966 	DATA 	Keypress: 5
112.9970 	DATA 	Keypress: 5
113.0136 	Level Condition: 2 	25
113.0172 	Level image=tampico.jpg 	25
114.9945 	Level injecting via pump at address 1 	25
117.0058 	DATA 	Keypress: 5
117.0062 	DATA 	Keypress: 5
117.0064 	DATA 	Keypress: 5
121.0166 	DATA 	Keypress: 5
121.0172 	DATA 	Keypress: 5
121.0319 	DATA 	Keypress: 5
121.0326 	DATA 	Keypress: 5
122.9968 	DATA 	Keypress: 5
123.0163 	Level Condition: 1 	25
123.0221 	Level image=bottled_water.jpg 	25
124.9946 	Level injecting via pump at address 1 	25
127.0106 	DATA 	Keypress: 5
127.0109 	DATA 	Keypress: 5
127.0112 	DATA 	Keypress: 5
127.0116 	DATA 	Keypress: 5
131.0109 	DATA 	Keypress: 5
131.0113 	DATA 	Keypress: 5
131.0116 	DATA 	Keypress: 5
132.9969 	DATA 	Keypress: 5
132.9996 	DATA 	Keypress: 5
