8552.6979 	WARNING 	Movie2 stim could not be imported and won't be available
8602.3916 	DATA 	Keypress: 5
8602.4350 	Level Condition: 0 	25
8602.4540 	Level image=bottled_water.jpg 	25
8604.4158 	Level injecting via pump at address 0 	25
8606.4238 	DATA 	Keypress: 5
8606.4244 	DATA 	Keypress: 5
8606.4379 	DATA 	Keypress: 5
8610.4290 	DATA 	Keypress: 5
8610.4294 	DATA 	Keypress: 5
8610.4325 	DATA 	Keypress: 5
8612.4150 	DATA 	Keypress: 5
8612.4153 	DATA 	Keypress: 5
8612.4280 	Level Condition: 3 	25
8612.4337 	Level image=tampico.jpg 	25
8614.4128 	Level injecting via pump at address 0 	25
8616.4245 	DATA 	Keypress: 5
8616.4387 	DATA 	Keypress: 5
8616.4393 	DATA 	Keypress: 5
8616.4399 	DATA 	Keypress: 5
8620.4310 	DATA 	Keypress: 5
8620.4313 	DATA 	Keypress: 5
8620.4317 	DATA 	Keypress: 5
8622.4151 	DATA 	Keypress: 5
8622.4154 	DATA 	Keypress: 5
8622.4345 	Level Condition: 0 	25
8622.4407 	Level image=bottled_water.jpg 	25
8624.4128 	Level injecting via pump at address 0 	25
8626.4248 	DATA 	Keypress: 5
8626.4368 	DATA 	Keypress: 5
8626.4372 	DATA 	Keypress: 5
8630.4285 	DATA 	Keypress: 5
8630.4289 	DATA 	Keypress: 5
8630.4292 	DATA 	Keypress: 5
8630.4295 	DATA 	Keypress: 5
8632.4151 	DATA 	Keypress: 5
8632.4389 	Level Condition: 0 	25
8632.4451 	Level image=bottled_water.jpg 	25
8634.4129 	Level injecting via pump at address 0 	25
8636.4246 	DATA 	Keypress: 5
8636.4428 	DATA 	Keypress: 5
8636.4432 	DATA 	Keypress: 5
8636.4439 	DATA 	Keypress: 5
8640.4276 	DATA 	Keypress: 5
8640.4280 	DATA 	Keypress: 5
8640.4282 	DATA 	Keypress: 5
8642.4149 	DATA 	Keypress: 5
8642.4153 	DATA 	Keypress: 5
8642.4241 	Level Condition: 0 	25
8642.4292 	Level image=bottled_water.jpg 	25
8644.4128 	Level injecting via pump at address 0 	25
8646.4247 	DATA 	Keypress: 5
8646.4421 	DATA 	Keypress: 5
8646.4426 	DATA 	Keypress: 5
8650.4277 	DATA 	Keypress: 5
8650.4280 	DATA 	Keypress: 5
8650.4283 	DATA 	Keypress: 5
8650.4287 	DATA 	Keypress: 5
8652.4152 	DATA 	Keypress: 5
8652.4157 	DATA 	Keypress: 5
8652.4252 	Level Condition: 3 	25
8652.4284 	Level image=tampico.jpg 	25
8654.4128 	Level injecting via pump at address 0 	25
8656.4256 	DATA 	Keypress: 5
8656.4356 	DATA 	Keypress: 5
8656.4363 	DATA 	Keypress: 5
8660.4383 	DATA 	Keypress: 5
8660.4386 	DATA 	Keypress: 5
8660.4389 	DATA 	Keypress: 5
8660.4392 	DATA 	Keypress: 5
8662.4149 	DATA 	Keypress: 5
8662.4264 	Level Condition: 0 	25
8662.4323 	Level image=bottled_water.jpg 	25
8664.4128 	Level injecting via pump at address 0 	25
8666.4289 	DATA 	Keypress: 5
8666.4293 	DATA 	Keypress: 5
8666.4411 	DATA 	Keypress: 5
8666.4416 	DATA 	Keypress: 5
8670.4279 	DATA 	Keypress: 5
8670.4283 	DATA 	Keypress: 5
8670.4285 	DATA 	Keypress: 5
8672.4150 	DATA 	Keypress: 5
8672.4153 	DATA 	Keypress: 5
8672.4265 	Level Condition: 2 	25
8672.4297 	Level image=tampico.jpg 	25
8674.4128 	Level injecting via pump at address 1 	25
8676.4246 	DATA 	Keypress: 5
8676.4459 	DATA 	Keypress: 5
8676.4464 	DATA 	Keypress: 5
8680.4283 	DATA 	Keypress: 5
8680.4287 	DATA 	Keypress: 5
8680.4289 	DATA 	Keypress: 5
8680.4294 	DATA 	Keypress: 5
8682.4151 	DATA 	Keypress: 5
8682.4306 	Level Condition: 1 	25
8682.4366 	Level image=bottled_water.jpg 	25
8682.4584 	DATA 	Keypress: 5
8684.4128 	Level injecting via pump at address 1 	25
8686.4242 	DATA 	Keypress: 5
8686.4246 	DATA 	Keypress: 5
8686.4346 	DATA 	Keypress: 5
8690.4279 	DATA 	Keypress: 5
8690.4282 	DATA 	Keypress: 5
8690.4285 	DATA 	Keypress: 5
8692.4150 	DATA 	Keypress: 5
8692.4153 	DATA 	Keypress: 5
8692.4318 	Level Condition: 2 	25
8692.4356 	Level image=tampico.jpg 	25
8694.4128 	Level injecting via pump at address 1 	25
8696.4249 	DATA 	Keypress: 5
8696.4252 	DATA 	Keypress: 5
8696.4255 	DATA 	Keypress: 5
8696.4259 	DATA 	Keypress: 5
8700.4847 	DATA 	Keypress: 5
8700.4852 	DATA 	Keypress: 5
8700.4856 	DATA 	Keypress: 5
8702.4152 	DATA 	Keypress: 5
8702.4155 	DATA 	Keypress: 5
8702.4272 	Level Condition: 2 	25
8702.4308 	Level image=tampico.jpg 	25
8704.4128 	Level injecting via pump at address 1 	25
8706.4245 	DATA 	Keypress: 5
8706.4249 	DATA 	Keypress: 5
8706.4251 	DATA 	Keypress: 5
8710.4283 	DATA 	Keypress: 5
8710.4286 	DATA 	Keypress: 5
8710.4288 	DATA 	Keypress: 5
8710.4291 	DATA 	Keypress: 5
8712.4173 	DATA 	Keypress: 5
8712.4305 	Level Condition: 0 	25
8712.4360 	Level image=bottled_water.jpg 	25
8714.4128 	Level injecting via pump at address 0 	25
8716.4246 	DATA 	Keypress: 5
8716.4249 	DATA 	Keypress: 5
8716.4275 	DATA 	Keypress: 5
8716.4280 	DATA 	Keypress: 5
8720.4281 	DATA 	Keypress: 5
8720.4284 	DATA 	Keypress: 5
8720.4287 	DATA 	Keypress: 5
8722.4152 	DATA 	Keypress: 5
8722.4155 	DATA 	Keypress: 5
8722.4354 	Level Condition: 1 	25
8722.4411 	Level image=bottled_water.jpg 	25
8724.4128 	Level injecting via pump at address 1 	25
8726.4246 	DATA 	Keypress: 5
8726.4249 	DATA 	Keypress: 5
8726.4252 	DATA 	Keypress: 5
8730.4283 	DATA 	Keypress: 5
8730.4287 	DATA 	Keypress: 5
8730.4290 	DATA 	Keypress: 5
8730.4293 	DATA 	Keypress: 5
8732.4151 	DATA 	Keypress: 5
8732.4154 	DATA 	Keypress: 5
8732.4369 	Level Condition: 1 	25
8732.4426 	Level image=bottled_water.jpg 	25
8734.4129 	Level injecting via pump at address 1 	25
8736.4245 	DATA 	Keypress: 5
8736.4370 	DATA 	Keypress: 5
8736.4375 	DATA 	Keypress: 5
8740.4279 	DATA 	Keypress: 5
8740.4283 	DATA 	Keypress: 5
8740.4308 	DATA 	Keypress: 5
8740.4316 	DATA 	Keypress: 5
8742.4148 	DATA 	Keypress: 5
8742.4302 	Level Condition: 0 	25
8742.4361 	Level image=bottled_water.jpg 	25
8744.4128 	Level injecting via pump at address 0 	25
8746.4243 	DATA 	Keypress: 5
8746.4378 	DATA 	Keypress: 5
8746.4382 	DATA 	Keypress: 5
8746.4387 	DATA 	Keypress: 5
8750.4284 	DATA 	Keypress: 5
8750.4287 	DATA 	Keypress: 5
8750.4290 	DATA 	Keypress: 5
8752.4150 	DATA 	Keypress: 5
8752.4154 	DATA 	Keypress: 5
8752.4361 	Level Condition: 1 	25
8752.4419 	Level image=bottled_water.jpg 	25
8754.4128 	Level injecting via pump at address 1 	25
8756.4246 	DATA 	Keypress: 5
8756.4350 	DATA 	Keypress: 5
8756.4354 	DATA 	Keypress: 5
8760.4288 	DATA 	Keypress: 5
8760.4292 	DATA 	Keypress: 5
8760.4321 	DATA 	Keypress: 5
8760.4327 	DATA 	Keypress: 5
8762.4150 	DATA 	Keypress: 5
8762.4435 	Level Condition: 2 	25
8762.4470 	Level image=tampico.jpg 	25
8764.4128 	Level injecting via pump at address 1 	25
8766.4247 	DATA 	Keypress: 5
8766.4251 	DATA 	Keypress: 5
8766.4254 	DATA 	Keypress: 5
8766.4258 	DATA 	Keypress: 5
8770.4284 	DATA 	Keypress: 5
8770.4287 	DATA 	Keypress: 5
8770.4290 	DATA 	Keypress: 5
8772.4150 	DATA 	Keypress: 5
8772.4153 	DATA 	Keypress: 5
8772.4284 	Level Condition: 2 	25
8772.4315 	Level image=tampico.jpg 	25
8774.4128 	Level injecting via pump at address 1 	25
8776.4245 	DATA 	Keypress: 5
8776.4428 	DATA 	Keypress: 5
8776.4433 	DATA 	Keypress: 5
8776.4439 	DATA 	Keypress: 5
8780.4280 	DATA 	Keypress: 5
8780.4285 	DATA 	Keypress: 5
8780.4287 	DATA 	Keypress: 5
8782.4147 	DATA 	Keypress: 5
8782.4151 	DATA 	Keypress: 5
8782.4237 	Level Condition: 3 	25
8782.4265 	Level image=tampico.jpg 	25
8784.4128 	Level injecting via pump at address 0 	25
8786.4247 	DATA 	Keypress: 5
8786.4357 	DATA 	Keypress: 5
8786.4364 	DATA 	Keypress: 5
8790.4282 	DATA 	Keypress: 5
8790.4314 	DATA 	Keypress: 5
8790.4317 	DATA 	Keypress: 5
8790.4320 	DATA 	Keypress: 5
8792.4149 	DATA 	Keypress: 5
8792.4270 	Level Condition: 0 	25
8792.4328 	Level image=bottled_water.jpg 	25
8794.4128 	Level injecting via pump at address 0 	25
8796.4248 	DATA 	Keypress: 5
8796.4251 	DATA 	Keypress: 5
8796.4253 	DATA 	Keypress: 5
8796.4258 	DATA 	Keypress: 5
8800.4284 	DATA 	Keypress: 5
8800.4287 	DATA 	Keypress: 5
8800.4290 	DATA 	Keypress: 5
8802.4150 	DATA 	Keypress: 5
8802.4153 	DATA 	Keypress: 5
8802.4276 	Level Condition: 3 	25
8802.4312 	Level image=tampico.jpg 	25
8804.4128 	Level injecting via pump at address 0 	25
8806.4285 	DATA 	Keypress: 5
8806.4453 	DATA 	Keypress: 5
8806.4458 	DATA 	Keypress: 5
8810.4282 	DATA 	Keypress: 5
8810.4286 	DATA 	Keypress: 5
8810.4289 	DATA 	Keypress: 5
8810.4292 	DATA 	Keypress: 5
8812.4150 	DATA 	Keypress: 5
8812.4153 	DATA 	Keypress: 5
8812.4310 	Level Condition: 2 	25
8812.4343 	Level image=tampico.jpg 	25
8814.4128 	Level injecting via pump at address 1 	25
8816.4244 	DATA 	Keypress: 5
8816.4342 	DATA 	Keypress: 5
