20.6458 	WARNING 	Movie2 stim could not be imported and won't be available
116.3740 	DATA 	Keypress: 5
116.4291 	Level Condition: 0 	25
116.4397 	Level image=bottled_water.jpg 	25
118.3938 	Level injecting via pump at address 0 	25
120.4022 	DATA 	Keypress: 5
120.4027 	DATA 	Keypress: 5
120.4029 	DATA 	Keypress: 5
124.4079 	DATA 	Keypress: 5
124.4083 	DATA 	Keypress: 5
124.4086 	DATA 	Keypress: 5
126.3934 	DATA 	Keypress: 5
126.3938 	DATA 	Keypress: 5
126.4075 	Level Condition: 0 	25
126.4132 	Level image=bottled_water.jpg 	25
128.3913 	Level injecting via pump at address 0 	25
130.4027 	DATA 	Keypress: 5
130.4030 	DATA 	Keypress: 5
130.4064 	DATA 	Keypress: 5
130.4069 	DATA 	Keypress: 5
134.4062 	DATA 	Keypress: 5
134.4294 	DATA 	Keypress: 5
134.4301 	DATA 	Keypress: 5
136.3932 	DATA 	Keypress: 5
136.3936 	DATA 	Keypress: 5
136.4120 	Level Condition: 0 	25
136.4181 	Level image=bottled_water.jpg 	25
138.3912 	Level injecting via pump at address 0 	25
140.4030 	DATA 	Keypress: 5
140.4035 	DATA 	Keypress: 5
140.4037 	DATA 	Keypress: 5
144.4066 	DATA 	Keypress: 5
144.4070 	DATA 	Keypress: 5
144.4073 	DATA 	Keypress: 5
144.4076 	DATA 	Keypress: 5
146.3935 	DATA 	Keypress: 5
146.4139 	Level Condition: 3 	25
146.4177 	Level image=tampico.jpg 	25
148.3913 	Level injecting via pump at address 0 	25
150.4033 	DATA 	Keypress: 5
150.4125 	DATA 	Keypress: 5
150.4128 	DATA 	Keypress: 5
150.4133 	DATA 	Keypress: 5
154.4062 	DATA 	Keypress: 5
154.4066 	DATA 	Keypress: 5
154.4068 	DATA 	Keypress: 5
156.3935 	DATA 	Keypress: 5
156.3938 	DATA 	Keypress: 5
156.4044 	Level Condition: 0 	25
156.4097 	Level image=bottled_water.jpg 	25
158.3912 	Level injecting via pump at address 0 	25
160.4032 	DATA 	Keypress: 5
160.4035 	DATA 	Keypress: 5
160.4038 	DATA 	Keypress: 5
164.4065 	DATA 	Keypress: 5
164.4094 	DATA 	Keypress: 5
164.4097 	DATA 	Keypress: 5
164.4100 	DATA 	Keypress: 5
166.3934 	DATA 	Keypress: 5
166.3960 	DATA 	Keypress: 5
166.4119 	Level Condition: 1 	25
166.4176 	Level image=bottled_water.jpg 	25
168.3913 	Level injecting via pump at address 1 	25
170.4029 	DATA 	Keypress: 5
170.4032 	DATA 	Keypress: 5
170.4035 	DATA 	Keypress: 5
174.4161 	DATA 	Keypress: 5
174.4165 	DATA 	Keypress: 5
174.4167 	DATA 	Keypress: 5
174.4172 	DATA 	Keypress: 5
176.3935 	DATA 	Keypress: 5
176.4163 	Level Condition: 0 	25
176.4221 	Level image=bottled_water.jpg 	25
178.3912 	Level injecting via pump at address 0 	25
180.4031 	DATA 	Keypress: 5
180.4035 	DATA 	Keypress: 5
180.4038 	DATA 	Keypress: 5
180.4042 	DATA 	Keypress: 5
184.4073 	DATA 	Keypress: 5
184.4177 	DATA 	Keypress: 5
184.4181 	DATA 	Keypress: 5
186.3933 	DATA 	Keypress: 5
186.3936 	DATA 	Keypress: 5
186.4039 	Level Condition: 1 	25
186.4086 	Level image=bottled_water.jpg 	25
188.3912 	Level injecting via pump at address 1 	25
190.4027 	DATA 	Keypress: 5
190.4031 	DATA 	Keypress: 5
190.4033 	DATA 	Keypress: 5
194.4066 	DATA 	Keypress: 5
194.4070 	DATA 	Keypress: 5
194.4073 	DATA 	Keypress: 5
194.4076 	DATA 	Keypress: 5
196.3934 	DATA 	Keypress: 5
196.4088 	Level Condition: 2 	25
196.4128 	Level image=tampico.jpg 	25
196.4346 	DATA 	Keypress: 5
198.3912 	Level injecting via pump at address 1 	25
200.4024 	DATA 	Keypress: 5
200.4124 	DATA 	Keypress: 5
200.4128 	DATA 	Keypress: 5
204.4060 	DATA 	Keypress: 5
204.4064 	DATA 	Keypress: 5
204.4067 	DATA 	Keypress: 5
206.3935 	DATA 	Keypress: 5
206.3938 	DATA 	Keypress: 5
206.4151 	Level Condition: 1 	25
206.4215 	Level image=bottled_water.jpg 	25
208.3912 	Level injecting via pump at address 1 	25
210.4029 	DATA 	Keypress: 5
210.4033 	DATA 	Keypress: 5
210.4037 	DATA 	Keypress: 5
210.4043 	DATA 	Keypress: 5
214.4404 	DATA 	Keypress: 5
214.4409 	DATA 	Keypress: 5
214.4411 	DATA 	Keypress: 5
216.3932 	DATA 	Keypress: 5
216.3958 	DATA 	Keypress: 5
216.4200 	Level Condition: 2 	25
216.4238 	Level image=tampico.jpg 	25
218.3912 	Level injecting via pump at address 1 	25
220.4027 	DATA 	Keypress: 5
220.4031 	DATA 	Keypress: 5
220.4033 	DATA 	Keypress: 5
224.4066 	DATA 	Keypress: 5
224.4070 	DATA 	Keypress: 5
224.4073 	DATA 	Keypress: 5
224.4076 	DATA 	Keypress: 5
226.3934 	DATA 	Keypress: 5
226.4019 	Level Condition: 2 	25
226.4047 	Level image=tampico.jpg 	25
228.3913 	Level injecting via pump at address 1 	25
230.4030 	DATA 	Keypress: 5
230.4033 	DATA 	Keypress: 5
230.4036 	DATA 	Keypress: 5
230.4040 	DATA 	Keypress: 5
234.4069 	DATA 	Keypress: 5
234.4218 	DATA 	Keypress: 5
234.4222 	DATA 	Keypress: 5
236.3941 	DATA 	Keypress: 5
236.3945 	DATA 	Keypress: 5
236.4050 	Level Condition: 2 	25
236.4081 	Level image=tampico.jpg 	25
238.3912 	Level injecting via pump at address 1 	25
240.4028 	DATA 	Keypress: 5
240.4031 	DATA 	Keypress: 5
240.4034 	DATA 	Keypress: 5
244.4063 	DATA 	Keypress: 5
244.4067 	DATA 	Keypress: 5
244.4070 	DATA 	Keypress: 5
244.4073 	DATA 	Keypress: 5
246.3934 	DATA 	Keypress: 5
246.3938 	DATA 	Keypress: 5
246.4063 	Level Condition: 2 	25
246.4094 	Level image=tampico.jpg 	25
248.3912 	Level injecting via pump at address 1 	25
250.4030 	DATA 	Keypress: 5
250.4204 	DATA 	Keypress: 5
250.4209 	DATA 	Keypress: 5
254.4067 	DATA 	Keypress: 5
254.4072 	DATA 	Keypress: 5
254.4074 	DATA 	Keypress: 5
256.3933 	DATA 	Keypress: 5
256.3938 	DATA 	Keypress: 5
256.4043 	Level Condition: 1 	25
256.4095 	Level image=bottled_water.jpg 	25
258.3912 	Level injecting via pump at address 1 	25
260.4026 	DATA 	Keypress: 5
260.4029 	DATA 	Keypress: 5
260.4032 	DATA 	Keypress: 5
260.4037 	DATA 	Keypress: 5
264.4065 	DATA 	Keypress: 5
264.4069 	DATA 	Keypress: 5
264.4072 	DATA 	Keypress: 5
266.3934 	DATA 	Keypress: 5
266.3960 	DATA 	Keypress: 5
266.4065 	Level Condition: 2 	25
266.4097 	Level image=tampico.jpg 	25
268.3913 	Level injecting via pump at address 1 	25
270.4028 	DATA 	Keypress: 5
270.4031 	DATA 	Keypress: 5
270.4034 	DATA 	Keypress: 5
274.4066 	DATA 	Keypress: 5
274.4099 	DATA 	Keypress: 5
274.4104 	DATA 	Keypress: 5
274.4107 	DATA 	Keypress: 5
276.3932 	DATA 	Keypress: 5
276.4100 	Level Condition: 3 	25
276.4134 	Level image=tampico.jpg 	25
278.3912 	Level injecting via pump at address 0 	25
280.4030 	DATA 	Keypress: 5
280.4034 	DATA 	Keypress: 5
280.4036 	DATA 	Keypress: 5
280.4040 	DATA 	Keypress: 5
284.4065 	DATA 	Keypress: 5
284.4208 	DATA 	Keypress: 5
284.4213 	DATA 	Keypress: 5
286.3935 	DATA 	Keypress: 5
286.3939 	DATA 	Keypress: 5
286.4025 	Level Condition: 0 	25
286.4076 	Level image=bottled_water.jpg 	25
288.3912 	Level injecting via pump at address 0 	25
290.4030 	DATA 	Keypress: 5
290.4034 	DATA 	Keypress: 5
290.4037 	DATA 	Keypress: 5
290.4042 	DATA 	Keypress: 5
294.4063 	DATA 	Keypress: 5
294.4067 	DATA 	Keypress: 5
294.4070 	DATA 	Keypress: 5
296.3933 	DATA 	Keypress: 5
296.3936 	DATA 	Keypress: 5
296.4091 	Level Condition: 0 	25
296.4148 	Level image=bottled_water.jpg 	25
298.3912 	Level injecting via pump at address 0 	25
300.4028 	DATA 	Keypress: 5
300.4287 	DATA 	Keypress: 5
300.4294 	DATA 	Keypress: 5
304.4069 	DATA 	Keypress: 5
304.4073 	DATA 	Keypress: 5
304.4076 	DATA 	Keypress: 5
304.4079 	DATA 	Keypress: 5
306.3935 	DATA 	Keypress: 5
306.4130 	Level Condition: 3 	25
306.4167 	Level image=tampico.jpg 	25
308.3912 	Level injecting via pump at address 0 	25
310.4025 	DATA 	Keypress: 5
310.4029 	DATA 	Keypress: 5
310.4031 	DATA 	Keypress: 5
310.4069 	DATA 	Keypress: 5
314.4059 	DATA 	Keypress: 5
314.4063 	DATA 	Keypress: 5
314.4066 	DATA 	Keypress: 5
316.3935 	DATA 	Keypress: 5
316.3961 	DATA 	Keypress: 5
316.4140 	Level Condition: 2 	25
316.4175 	Level image=tampico.jpg 	25
318.3912 	Level injecting via pump at address 1 	25
320.4027 	DATA 	Keypress: 5
320.4030 	DATA 	Keypress: 5
320.4033 	DATA 	Keypress: 5
324.4061 	DATA 	Keypress: 5
324.4065 	DATA 	Keypress: 5
324.4068 	DATA 	Keypress: 5
324.4071 	DATA 	Keypress: 5
326.3934 	DATA 	Keypress: 5
326.3937 	DATA 	Keypress: 5
326.4057 	Level Condition: 0 	25
326.4112 	Level image=bottled_water.jpg 	25
328.3913 	Level injecting via pump at address 0 	25
330.4027 	DATA 	Keypress: 5
330.4031 	DATA 	Keypress: 5
330.4033 	DATA 	Keypress: 5
334.4063 	DATA 	Keypress: 5
334.4068 	DATA 	Keypress: 5
