5556.8752 	WARNING 	Movie2 stim could not be imported and won't be available
5766.4135 	DATA 	Keypress: 5
5766.4571 	Level Condition: 2 	25
5766.4703 	Level image=tampico.jpg 	25
5768.4491 	Level injecting via pump at address 1 	25
5770.4576 	DATA 	Keypress: 5
5770.4580 	DATA 	Keypress: 5
5770.4583 	DATA 	Keypress: 5
5774.4628 	DATA 	Keypress: 5
5774.4632 	DATA 	Keypress: 5
5774.4747 	DATA 	Keypress: 5
5776.4485 	DATA 	Keypress: 5
5776.4489 	DATA 	Keypress: 5
5776.4580 	Level Condition: 3 	25
5776.4615 	Level image=tampico.jpg 	25
5778.4463 	Level injecting via pump at address 0 	25
5780.4579 	DATA 	Keypress: 5
5780.4583 	DATA 	Keypress: 5
5780.4585 	DATA 	Keypress: 5
5780.4590 	DATA 	Keypress: 5
5784.4615 	DATA 	Keypress: 5
5784.4618 	DATA 	Keypress: 5
5784.4622 	DATA 	Keypress: 5
5786.4486 	DATA 	Keypress: 5
5786.4490 	DATA 	Keypress: 5
5786.4572 	Level Condition: 0 	25
5786.4650 	Level image=bottled_water.jpg 	25
5788.4464 	Level injecting via pump at address 0 	25
5790.4585 	DATA 	Keypress: 5
5790.4774 	DATA 	Keypress: 5
5790.4778 	DATA 	Keypress: 5
5794.4614 	DATA 	Keypress: 5
5794.4618 	DATA 	Keypress: 5
5794.4620 	DATA 	Keypress: 5
5794.4625 	DATA 	Keypress: 5
5796.4486 	DATA 	Keypress: 5
5796.4596 	Level Condition: 0 	25
5796.4647 	Level image=bottled_water.jpg 	25
5798.4463 	Level injecting via pump at address 0 	25
5800.4582 	DATA 	Keypress: 5
5800.4585 	DATA 	Keypress: 5
5800.4588 	DATA 	Keypress: 5
5800.4592 	DATA 	Keypress: 5
5804.4635 	DATA 	Keypress: 5
5804.4663 	DATA 	Keypress: 5
5804.4667 	DATA 	Keypress: 5
5806.4486 	DATA 	Keypress: 5
5806.4512 	DATA 	Keypress: 5
5806.4602 	Level Condition: 0 	25
5806.4650 	Level image=bottled_water.jpg 	25
5808.4464 	Level injecting via pump at address 0 	25
5810.4581 	DATA 	Keypress: 5
5810.4585 	DATA 	Keypress: 5
5810.4588 	DATA 	Keypress: 5
5814.4620 	DATA 	Keypress: 5
5814.4623 	DATA 	Keypress: 5
5814.4626 	DATA 	Keypress: 5
5814.4631 	DATA 	Keypress: 5
5816.4486 	DATA 	Keypress: 5
5816.4490 	DATA 	Keypress: 5
5816.4598 	Level Condition: 2 	25
5816.4633 	Level image=tampico.jpg 	25
5818.4463 	Level injecting via pump at address 1 	25
5820.4621 	DATA 	Keypress: 5
5820.4625 	DATA 	Keypress: 5
5820.4628 	DATA 	Keypress: 5
5824.4680 	DATA 	Keypress: 5
5824.4804 	DATA 	Keypress: 5
5824.4812 	DATA 	Keypress: 5
5824.4817 	DATA 	Keypress: 5
5826.4484 	DATA 	Keypress: 5
5826.4650 	Level Condition: 3 	25
5826.4686 	Level image=tampico.jpg 	25
5828.4464 	Level injecting via pump at address 0 	25
5830.4577 	DATA 	Keypress: 5
5830.4580 	DATA 	Keypress: 5
5830.4583 	DATA 	Keypress: 5
5830.4587 	DATA 	Keypress: 5
5834.4616 	DATA 	Keypress: 5
5834.4620 	DATA 	Keypress: 5
5834.4623 	DATA 	Keypress: 5
5836.4487 	DATA 	Keypress: 5
5836.4490 	DATA 	Keypress: 5
5836.4659 	Level Condition: 0 	25
5836.4722 	Level image=bottled_water.jpg 	25
5838.4463 	Level injecting via pump at address 0 	25
5840.4748 	DATA 	Keypress: 5
5840.4753 	DATA 	Keypress: 5
5840.4757 	DATA 	Keypress: 5
5844.4611 	DATA 	Keypress: 5
5844.4615 	DATA 	Keypress: 5
5844.4618 	DATA 	Keypress: 5
5844.4621 	DATA 	Keypress: 5
5846.4485 	DATA 	Keypress: 5
5846.4542 	DATA 	Keypress: 5
5846.4603 	Level Condition: 2 	25
5846.4647 	Level image=tampico.jpg 	25
5848.4464 	Level injecting via pump at address 1 	25
5850.4574 	DATA 	Keypress: 5
5850.4577 	DATA 	Keypress: 5
5850.4580 	DATA 	Keypress: 5
5854.4608 	DATA 	Keypress: 5
5854.4613 	DATA 	Keypress: 5
5854.4615 	DATA 	Keypress: 5
5856.4486 	DATA 	Keypress: 5
5856.4512 	DATA 	Keypress: 5
5856.4649 	Level Condition: 1 	25
5856.4704 	Level image=bottled_water.jpg 	25
5858.4464 	Level injecting via pump at address 1 	25
5860.4577 	DATA 	Keypress: 5
5860.4580 	DATA 	Keypress: 5
5860.4583 	DATA 	Keypress: 5
5860.4614 	DATA 	Keypress: 5
5864.5029 	DATA 	Keypress: 5
5864.5032 	DATA 	Keypress: 5
5864.5035 	DATA 	Keypress: 5
5866.4485 	DATA 	Keypress: 5
5866.4488 	DATA 	Keypress: 5
5866.4698 	Level Condition: 2 	25
5866.4736 	Level image=tampico.jpg 	25
5868.4463 	Level injecting via pump at address 1 	25
5870.4575 	DATA 	Keypress: 5
5870.4579 	DATA 	Keypress: 5
5870.4581 	DATA 	Keypress: 5
5874.4615 	DATA 	Keypress: 5
5874.4743 	DATA 	Keypress: 5
5874.4747 	DATA 	Keypress: 5
5874.4751 	DATA 	Keypress: 5
5876.4484 	DATA 	Keypress: 5
5876.4576 	Level Condition: 1 	25
5876.4627 	Level image=bottled_water.jpg 	25
5878.4463 	Level injecting via pump at address 1 	25
5880.4579 	DATA 	Keypress: 5
5880.4583 	DATA 	Keypress: 5
5880.4585 	DATA 	Keypress: 5
5880.4589 	DATA 	Keypress: 5
5884.4619 	DATA 	Keypress: 5
5884.4646 	DATA 	Keypress: 5
5884.4649 	DATA 	Keypress: 5
5886.4499 	DATA 	Keypress: 5
5886.4504 	DATA 	Keypress: 5
5886.4639 	Level Condition: 3 	25
5886.4675 	Level image=tampico.jpg 	25
5888.4464 	Level injecting via pump at address 0 	25
5890.4718 	DATA 	Keypress: 5
5890.4722 	DATA 	Keypress: 5
5890.4725 	DATA 	Keypress: 5
5894.4616 	DATA 	Keypress: 5
5894.4619 	DATA 	Keypress: 5
5894.4622 	DATA 	Keypress: 5
5894.4625 	DATA 	Keypress: 5
5896.4486 	DATA 	Keypress: 5
5896.4489 	DATA 	Keypress: 5
5896.4695 	Level Condition: 2 	25
5896.4732 	Level image=tampico.jpg 	25
5898.4463 	Level injecting via pump at address 1 	25
5900.4577 	DATA 	Keypress: 5
5900.4581 	DATA 	Keypress: 5
5900.4584 	DATA 	Keypress: 5
5904.4615 	DATA 	Keypress: 5
5904.4619 	DATA 	Keypress: 5
5904.4621 	DATA 	Keypress: 5
5904.4625 	DATA 	Keypress: 5
5906.4486 	DATA 	Keypress: 5
5906.4738 	Level Condition: 0 	25
5906.4799 	Level image=bottled_water.jpg 	25
5908.4464 	Level injecting via pump at address 0 	25
5910.4577 	DATA 	Keypress: 5
5910.4580 	DATA 	Keypress: 5
5910.4583 	DATA 	Keypress: 5
5910.4587 	DATA 	Keypress: 5
5914.4611 	DATA 	Keypress: 5
5914.4615 	DATA 	Keypress: 5
5914.4618 	DATA 	Keypress: 5
5916.4487 	DATA 	Keypress: 5
5916.4490 	DATA 	Keypress: 5
5916.4620 	Level Condition: 3 	25
5916.4654 	Level image=tampico.jpg 	25
5918.4463 	Level injecting via pump at address 0 	25
5920.4575 	DATA 	Keypress: 5
5920.4579 	DATA 	Keypress: 5
5920.4581 	DATA 	Keypress: 5
5924.4619 	DATA 	Keypress: 5
5924.4754 	DATA 	Keypress: 5
5924.4760 	DATA 	Keypress: 5
5924.4764 	DATA 	Keypress: 5
5926.4486 	DATA 	Keypress: 5
5926.4581 	Level Condition: 2 	25
5926.4610 	Level image=tampico.jpg 	25
5928.4463 	Level injecting via pump at address 1 	25
5930.4580 	DATA 	Keypress: 5
5930.4584 	DATA 	Keypress: 5
5930.4586 	DATA 	Keypress: 5
5930.4591 	DATA 	Keypress: 5
5934.4613 	DATA 	Keypress: 5
5934.4616 	DATA 	Keypress: 5
5934.4620 	DATA 	Keypress: 5
5936.4485 	DATA 	Keypress: 5
