6966.6860 	WARNING 	Movie2 stim could not be imported and won't be available
7018.3904 	DATA 	Keypress: 5
7018.4329 	Level Condition: 2 	25
7018.4481 	Level image=tampico.jpg 	25
7020.4250 	Level injecting via pump at address 1 	25
7022.4338 	DATA 	Keypress: 5
7022.4343 	DATA 	Keypress: 5
7022.4346 	DATA 	Keypress: 5
7026.4385 	DATA 	Keypress: 5
7026.4389 	DATA 	Keypress: 5
7026.4391 	DATA 	Keypress: 5
7028.4245 	DATA 	Keypress: 5
7028.4272 	DATA 	Keypress: 5
7028.4510 	Level Condition: 0 	25
7028.4615 	Level image=bottled_water.jpg 	25
7030.4224 	Level injecting via pump at address 0 	25
7032.4340 	DATA 	Keypress: 5
7032.4344 	DATA 	Keypress: 5
7032.4347 	DATA 	Keypress: 5
7032.4351 	DATA 	Keypress: 5
7036.4376 	DATA 	Keypress: 5
7036.4380 	DATA 	Keypress: 5
7036.4382 	DATA 	Keypress: 5
7038.4246 	DATA 	Keypress: 5
7038.4249 	DATA 	Keypress: 5
7038.4329 	Level Condition: 0 	25
7038.4382 	Level image=bottled_water.jpg 	25
7040.4224 	Level injecting via pump at address 0 	25
7042.4345 	DATA 	Keypress: 5
7042.4349 	DATA 	Keypress: 5
7042.4352 	DATA 	Keypress: 5
7046.4382 	DATA 	Keypress: 5
7046.4385 	DATA 	Keypress: 5
7046.4388 	DATA 	Keypress: 5
7046.4391 	DATA 	Keypress: 5
7048.4246 	DATA 	Keypress: 5
7048.4350 	Level Condition: 2 	25
7048.4386 	Level image=tampico.jpg 	25
7050.4224 	Level injecting via pump at address 1 	25
7052.4340 	DATA 	Keypress: 5
7052.4344 	DATA 	Keypress: 5
7052.4472 	DATA 	Keypress: 5
7052.4478 	DATA 	Keypress: 5
7056.4371 	DATA 	Keypress: 5
7056.4375 	DATA 	Keypress: 5
7056.4378 	DATA 	Keypress: 5
7058.4246 	DATA 	Keypress: 5
7058.4249 	DATA 	Keypress: 5
7058.4367 	Level Condition: 0 	25
7058.4425 	Level image=bottled_water.jpg 	25
7060.4224 	Level injecting via pump at address 0 	25
7062.4340 	DATA 	Keypress: 5
7062.4343 	DATA 	Keypress: 5
7062.4346 	DATA 	Keypress: 5
7066.4376 	DATA 	Keypress: 5
7066.4555 	DATA 	Keypress: 5
7066.4560 	DATA 	Keypress: 5
7066.4564 	DATA 	Keypress: 5
7068.4247 	DATA 	Keypress: 5
7068.4250 	DATA 	Keypress: 5
7068.4394 	Level Condition: 2 	25
7068.4426 	Level image=tampico.jpg 	25
7070.4224 	Level injecting via pump at address 1 	25
7072.4352 	DATA 	Keypress: 5
7072.4356 	DATA 	Keypress: 5
7072.4358 	DATA 	Keypress: 5
7076.4492 	DATA 	Keypress: 5
7076.4496 	DATA 	Keypress: 5
7076.4498 	DATA 	Keypress: 5
7076.4501 	DATA 	Keypress: 5
7078.4245 	DATA 	Keypress: 5
7078.4392 	Level Condition: 0 	25
7078.4447 	Level image=bottled_water.jpg 	25
7080.4224 	Level injecting via pump at address 0 	25
7082.4351 	DATA 	Keypress: 5
7082.4355 	DATA 	Keypress: 5
7082.4358 	DATA 	Keypress: 5
7082.4363 	DATA 	Keypress: 5
7086.4389 	DATA 	Keypress: 5
7086.4392 	DATA 	Keypress: 5
7086.4395 	DATA 	Keypress: 5
7088.4246 	DATA 	Keypress: 5
7088.4249 	DATA 	Keypress: 5
7088.4441 	Level Condition: 1 	25
7088.4493 	Level image=bottled_water.jpg 	25
7090.4224 	Level injecting via pump at address 1 	25
7092.4340 	DATA 	Keypress: 5
7092.4343 	DATA 	Keypress: 5
7092.4346 	DATA 	Keypress: 5
7096.4416 	DATA 	Keypress: 5
7096.4419 	DATA 	Keypress: 5
7096.4422 	DATA 	Keypress: 5
7096.4425 	DATA 	Keypress: 5
7098.4246 	DATA 	Keypress: 5
7098.4315 	DATA 	Keypress: 5
7098.4367 	Level Condition: 0 	25
7098.4416 	Level image=bottled_water.jpg 	25
7100.4224 	Level injecting via pump at address 0 	25
7102.4340 	DATA 	Keypress: 5
7102.4344 	DATA 	Keypress: 5
7102.4441 	DATA 	Keypress: 5
7106.4374 	DATA 	Keypress: 5
7106.4377 	DATA 	Keypress: 5
7106.4380 	DATA 	Keypress: 5
