6988.9176 	WARNING 	Movie2 stim could not be imported and won't be available
7039.3370 	DATA 	Keypress: 5
7039.3844 	Level Condition: 1 	25
7039.4061 	Level image=bottled_water.jpg 	25
7041.3764 	Level injecting via pump at address 1 	25
7043.3850 	DATA 	Keypress: 5
7043.3854 	DATA 	Keypress: 5
7043.3857 	DATA 	Keypress: 5
7047.4090 	DATA 	Keypress: 5
7047.4095 	DATA 	Keypress: 5
7047.4099 	DATA 	Keypress: 5
7049.3760 	DATA 	Keypress: 5
7049.3764 	DATA 	Keypress: 5
7049.3921 	Level Condition: 1 	25
7049.3983 	Level image=bottled_water.jpg 	25
7051.3737 	Level injecting via pump at address 1 	25
7053.3854 	DATA 	Keypress: 5
7053.3858 	DATA 	Keypress: 5
7053.3860 	DATA 	Keypress: 5
7053.3865 	DATA 	Keypress: 5
7057.3893 	DATA 	Keypress: 5
7057.3982 	DATA 	Keypress: 5
7057.3986 	DATA 	Keypress: 5
7059.3758 	DATA 	Keypress: 5
7059.3761 	DATA 	Keypress: 5
7059.3968 	Level Condition: 3 	25
7059.4030 	Level image=tampico.jpg 	25
7061.3737 	Level injecting via pump at address 0 	25
7063.3858 	DATA 	Keypress: 5
7063.3862 	DATA 	Keypress: 5
7063.3864 	DATA 	Keypress: 5
7067.3912 	DATA 	Keypress: 5
7067.3947 	DATA 	Keypress: 5
7067.3951 	DATA 	Keypress: 5
7067.3955 	DATA 	Keypress: 5
7069.3783 	DATA 	Keypress: 5
7069.4005 	Level Condition: 0 	25
7069.4067 	Level image=bottled_water.jpg 	25
7071.3737 	Level injecting via pump at address 0 	25
7073.3854 	DATA 	Keypress: 5
7073.3858 	DATA 	Keypress: 5
7073.3860 	DATA 	Keypress: 5
7073.3864 	DATA 	Keypress: 5
7077.3889 	DATA 	Keypress: 5
7077.3892 	DATA 	Keypress: 5
7077.3895 	DATA 	Keypress: 5
7079.3759 	DATA 	Keypress: 5
7079.3763 	DATA 	Keypress: 5
7079.3899 	Level Condition: 2 	25
7079.3933 	Level image=tampico.jpg 	25
7081.3737 	Level injecting via pump at address 1 	25
7083.3856 	DATA 	Keypress: 5
7083.3859 	DATA 	Keypress: 5
7083.3862 	DATA 	Keypress: 5
7087.3893 	DATA 	Keypress: 5
7087.3897 	DATA 	Keypress: 5
7087.3901 	DATA 	Keypress: 5
7087.3904 	DATA 	Keypress: 5
7089.3760 	DATA 	Keypress: 5
7089.3763 	DATA 	Keypress: 5
7089.3943 	Level Condition: 0 	25
7089.3996 	Level image=bottled_water.jpg 	25
7091.3737 	Level injecting via pump at address 0 	25
7093.3891 	DATA 	Keypress: 5
7093.4028 	DATA 	Keypress: 5
7093.4033 	DATA 	Keypress: 5
7097.3961 	DATA 	Keypress: 5
7097.3965 	DATA 	Keypress: 5
7097.3967 	DATA 	Keypress: 5
7097.3971 	DATA 	Keypress: 5
7099.3760 	DATA 	Keypress: 5
7099.3843 	Level Condition: 1 	25
7099.3891 	Level image=bottled_water.jpg 	25
7101.3737 	Level injecting via pump at address 1 	25
7103.3855 	DATA 	Keypress: 5
7103.4036 	DATA 	Keypress: 5
7103.4041 	DATA 	Keypress: 5
7103.4047 	DATA 	Keypress: 5
7107.3932 	DATA 	Keypress: 5
7107.3936 	DATA 	Keypress: 5
7107.3939 	DATA 	Keypress: 5
7109.3759 	DATA 	Keypress: 5
7109.3762 	DATA 	Keypress: 5
7109.3871 	Level Condition: 0 	25
7109.3919 	Level image=bottled_water.jpg 	25
7111.3737 	Level injecting via pump at address 0 	25
7113.3852 	DATA 	Keypress: 5
7113.4059 	DATA 	Keypress: 5
7113.4064 	DATA 	Keypress: 5
7117.3889 	DATA 	Keypress: 5
7117.3892 	DATA 	Keypress: 5
7117.3895 	DATA 	Keypress: 5
7117.3898 	DATA 	Keypress: 5
7119.3759 	DATA 	Keypress: 5
7119.3847 	DATA 	Keypress: 5
7119.3906 	Level Condition: 2 	25
7119.3943 	Level image=tampico.jpg 	25
7121.3737 	Level injecting via pump at address 1 	25
7123.3851 	DATA 	Keypress: 5
7123.3855 	DATA 	Keypress: 5
7123.3968 	DATA 	Keypress: 5
7127.3889 	DATA 	Keypress: 5
7127.3892 	DATA 	Keypress: 5
7127.3895 	DATA 	Keypress: 5
7129.3765 	DATA 	Keypress: 5
7129.3768 	DATA 	Keypress: 5
7129.3882 	Level Condition: 0 	25
7129.3939 	Level image=bottled_water.jpg 	25
7131.3737 	Level injecting via pump at address 0 	25
7133.3852 	DATA 	Keypress: 5
7133.3856 	DATA 	Keypress: 5
7133.3858 	DATA 	Keypress: 5
7133.3863 	DATA 	Keypress: 5
7137.4389 	DATA 	Keypress: 5
7137.4394 	DATA 	Keypress: 5
7137.4398 	DATA 	Keypress: 5
7139.3760 	DATA 	Keypress: 5
7139.3763 	DATA 	Keypress: 5
7139.3886 	Level Condition: 2 	25
7139.3916 	Level image=tampico.jpg 	25
7141.3737 	Level injecting via pump at address 1 	25
7143.3854 	DATA 	Keypress: 5
7143.3857 	DATA 	Keypress: 5
7143.3859 	DATA 	Keypress: 5
7147.3892 	DATA 	Keypress: 5
7147.3895 	DATA 	Keypress: 5
7147.3897 	DATA 	Keypress: 5
7147.3901 	DATA 	Keypress: 5
7149.3759 	DATA 	Keypress: 5
7149.3940 	Level Condition: 0 	25
7149.4000 	Level image=bottled_water.jpg 	25
7151.3737 	Level injecting via pump at address 0 	25
7153.3853 	DATA 	Keypress: 5
7153.3857 	DATA 	Keypress: 5
7153.3859 	DATA 	Keypress: 5
7153.3863 	DATA 	Keypress: 5
7157.3889 	DATA 	Keypress: 5
7157.3892 	DATA 	Keypress: 5
7157.3895 	DATA 	Keypress: 5
7159.3759 	DATA 	Keypress: 5
7159.3762 	DATA 	Keypress: 5
7159.3953 	Level Condition: 3 	25
7159.3991 	Level image=tampico.jpg 	25
7161.3737 	Level injecting via pump at address 0 	25
7163.3853 	DATA 	Keypress: 5
7163.3856 	DATA 	Keypress: 5
7163.3859 	DATA 	Keypress: 5
7167.3890 	DATA 	Keypress: 5
7167.3894 	DATA 	Keypress: 5
7167.3897 	DATA 	Keypress: 5
7167.3901 	DATA 	Keypress: 5
7169.3759 	DATA 	Keypress: 5
7169.3763 	DATA 	Keypress: 5
7169.3850 	Level Condition: 2 	25
7169.3879 	Level image=tampico.jpg 	25
7171.3737 	Level injecting via pump at address 1 	25
7173.3851 	DATA 	Keypress: 5
7173.3959 	DATA 	Keypress: 5
7173.3963 	DATA 	Keypress: 5
7177.3888 	DATA 	Keypress: 5
7177.3893 	DATA 	Keypress: 5
7177.3895 	DATA 	Keypress: 5
7177.3899 	DATA 	Keypress: 5
7179.3760 	DATA 	Keypress: 5
7179.3926 	Level Condition: 2 	25
7179.3962 	Level image=tampico.jpg 	25
7181.3737 	Level injecting via pump at address 1 	25
7183.3854 	DATA 	Keypress: 5
7183.3952 	DATA 	Keypress: 5
7183.3957 	DATA 	Keypress: 5
7183.3964 	DATA 	Keypress: 5
7187.3889 	DATA 	Keypress: 5
7187.3917 	DATA 	Keypress: 5
7187.3921 	DATA 	Keypress: 5
7189.3760 	DATA 	Keypress: 5
7189.3763 	DATA 	Keypress: 5
7189.3986 	Level Condition: 2 	25
7189.4020 	Level image=tampico.jpg 	25
7191.3737 	Level injecting via pump at address 1 	25
7193.3853 	DATA 	Keypress: 5
7193.3993 	DATA 	Keypress: 5
7193.3998 	DATA 	Keypress: 5
7197.3892 	DATA 	Keypress: 5
7197.3896 	DATA 	Keypress: 5
7197.3898 	DATA 	Keypress: 5
7197.3901 	DATA 	Keypress: 5
7199.3759 	DATA 	Keypress: 5
7199.3843 	Level Condition: 0 	25
7199.3893 	Level image=bottled_water.jpg 	25
7201.3737 	Level injecting via pump at address 0 	25
7203.3855 	DATA 	Keypress: 5
7203.4011 	DATA 	Keypress: 5
7203.4016 	DATA 	Keypress: 5
7203.4023 	DATA 	Keypress: 5
7207.3890 	DATA 	Keypress: 5
7207.3893 	DATA 	Keypress: 5
7207.3896 	DATA 	Keypress: 5
7209.3759 	DATA 	Keypress: 5
7209.3762 	DATA 	Keypress: 5
7209.3916 	Level Condition: 3 	25
7209.3954 	Level image=tampico.jpg 	25
7211.3737 	Level injecting via pump at address 0 	25
7213.3913 	DATA 	Keypress: 5
7213.4020 	DATA 	Keypress: 5
7213.4026 	DATA 	Keypress: 5
7213.4031 	DATA 	Keypress: 5
7217.3916 	DATA 	Keypress: 5
7217.3920 	DATA 	Keypress: 5
7217.3923 	DATA 	Keypress: 5
7219.3759 	DATA 	Keypress: 5
7219.3763 	DATA 	Keypress: 5
7219.3976 	Level Condition: 3 	25
7219.4010 	Level image=tampico.jpg 	25
7221.3737 	Level injecting via pump at address 0 	25
7223.3870 	DATA 	Keypress: 5
7223.3997 	DATA 	Keypress: 5
7223.4001 	DATA 	Keypress: 5
7227.3890 	DATA 	Keypress: 5
7227.3894 	DATA 	Keypress: 5
7227.3897 	DATA 	Keypress: 5
7227.3900 	DATA 	Keypress: 5
7229.3759 	DATA 	Keypress: 5
7229.3840 	Level Condition: 2 	25
7229.3868 	Level image=tampico.jpg 	25
7231.3737 	Level injecting via pump at address 1 	25
7233.3854 	DATA 	Keypress: 5
7233.4053 	DATA 	Keypress: 5
7233.4058 	DATA 	Keypress: 5
7233.4063 	DATA 	Keypress: 5
7237.3882 	DATA 	Keypress: 5
7237.3886 	DATA 	Keypress: 5
7237.3889 	DATA 	Keypress: 5
7239.3759 	DATA 	Keypress: 5
7239.3763 	DATA 	Keypress: 5
7239.3876 	Level Condition: 2 	25
7239.3904 	Level image=tampico.jpg 	25
7241.3737 	Level injecting via pump at address 1 	25
7243.3856 	DATA 	Keypress: 5
7243.4051 	DATA 	Keypress: 5
7243.4056 	DATA 	Keypress: 5
7247.3888 	DATA 	Keypress: 5
7247.3892 	DATA 	Keypress: 5
7247.3896 	DATA 	Keypress: 5
7247.3901 	DATA 	Keypress: 5
7249.3757 	DATA 	Keypress: 5
7249.3760 	DATA 	Keypress: 5
7249.3891 	Level Condition: 1 	25
7249.3946 	Level image=bottled_water.jpg 	25
7251.3737 	Level injecting via pump at address 1 	25
7253.3852 	DATA 	Keypress: 5
7253.3998 	DATA 	Keypress: 5
7253.4003 	DATA 	Keypress: 5
7257.3893 	DATA 	Keypress: 5
7257.3897 	DATA 	Keypress: 5
7257.3899 	DATA 	Keypress: 5
7259.3757 	DATA 	Keypress: 5
7259.3762 	DATA 	Keypress: 5
7259.3904 	Level Condition: 0 	25
7259.3963 	Level image=bottled_water.jpg 	25
7261.3737 	Level injecting via pump at address 0 	25
7263.3852 	DATA 	Keypress: 5
7263.3856 	DATA 	Keypress: 5
7263.4040 	DATA 	Keypress: 5
7263.4047 	DATA 	Keypress: 5
7267.3896 	DATA 	Keypress: 5
7267.3900 	DATA 	Keypress: 5
7267.3903 	DATA 	Keypress: 5
