6179.4418 	WARNING 	Movie2 stim could not be imported and won't be available
6462.1520 	DATA 	Keypress: 5
6462.1979 	Level Condition: 0 	25
6462.2098 	Level image=bottled_water.jpg 	25
6464.1896 	Level injecting via pump at address 0 	25
6466.1981 	DATA 	Keypress: 5
6466.1985 	DATA 	Keypress: 5
6466.1988 	DATA 	Keypress: 5
6470.2028 	DATA 	Keypress: 5
6470.2032 	DATA 	Keypress: 5
6470.2034 	DATA 	Keypress: 5
6472.1892 	DATA 	Keypress: 5
6472.1919 	DATA 	Keypress: 5
6472.2123 	Level Condition: 2 	25
6472.2188 	Level image=tampico.jpg 	25
6474.1870 	Level injecting via pump at address 1 	25
6476.2007 	DATA 	Keypress: 5
6476.2011 	DATA 	Keypress: 5
6476.2014 	DATA 	Keypress: 5
6476.2020 	DATA 	Keypress: 5
6480.2017 	DATA 	Keypress: 5
6480.2021 	DATA 	Keypress: 5
6480.2024 	DATA 	Keypress: 5
6482.1892 	DATA 	Keypress: 5
6482.1895 	DATA 	Keypress: 5
6482.2065 	Level Condition: 3 	25
6482.2103 	Level image=tampico.jpg 	25
6484.1869 	Level injecting via pump at address 0 	25
6486.2089 	DATA 	Keypress: 5
6486.2093 	DATA 	Keypress: 5
6486.2096 	DATA 	Keypress: 5
6490.2022 	DATA 	Keypress: 5
6490.2057 	DATA 	Keypress: 5
6490.2060 	DATA 	Keypress: 5
6490.2063 	DATA 	Keypress: 5
6492.1893 	DATA 	Keypress: 5
6492.2120 	Level Condition: 3 	25
6492.2156 	Level image=tampico.jpg 	25
6494.1870 	Level injecting via pump at address 0 	25
6496.1985 	DATA 	Keypress: 5
6496.1989 	DATA 	Keypress: 5
6496.1992 	DATA 	Keypress: 5
6496.1997 	DATA 	Keypress: 5
6500.2023 	DATA 	Keypress: 5
6500.2026 	DATA 	Keypress: 5
6500.2029 	DATA 	Keypress: 5
6502.1892 	DATA 	Keypress: 5
6502.1918 	DATA 	Keypress: 5
6502.2155 	Level Condition: 0 	25
6502.2217 	Level image=bottled_water.jpg 	25
6504.1869 	Level injecting via pump at address 0 	25
6506.1984 	DATA 	Keypress: 5
6506.1987 	DATA 	Keypress: 5
6506.1990 	DATA 	Keypress: 5
6510.2026 	DATA 	Keypress: 5
6510.2029 	DATA 	Keypress: 5
6510.2032 	DATA 	Keypress: 5
6510.2036 	DATA 	Keypress: 5
6512.1892 	DATA 	Keypress: 5
6512.1896 	DATA 	Keypress: 5
6512.1985 	Level Condition: 0 	25
6512.2034 	Level image=bottled_water.jpg 	25
6514.1870 	Level injecting via pump at address 0 	25
6516.2003 	DATA 	Keypress: 5
6516.2007 	DATA 	Keypress: 5
6516.2010 	DATA 	Keypress: 5
6520.2101 	DATA 	Keypress: 5
6520.2272 	DATA 	Keypress: 5
6520.2276 	DATA 	Keypress: 5
6520.2280 	DATA 	Keypress: 5
6522.1890 	DATA 	Keypress: 5
6522.2027 	Level Condition: 2 	25
6522.2064 	Level image=tampico.jpg 	25
6524.1869 	Level injecting via pump at address 1 	25
6526.1984 	DATA 	Keypress: 5
6526.1987 	DATA 	Keypress: 5
6526.1989 	DATA 	Keypress: 5
6526.1994 	DATA 	Keypress: 5
6530.2020 	DATA 	Keypress: 5
6530.2023 	DATA 	Keypress: 5
6530.2026 	DATA 	Keypress: 5
6532.1892 	DATA 	Keypress: 5
6532.1895 	DATA 	Keypress: 5
6532.2013 	Level Condition: 1 	25
6532.2065 	Level image=bottled_water.jpg 	25
6534.1870 	Level injecting via pump at address 1 	25
6536.2189 	DATA 	Keypress: 5
6536.2194 	DATA 	Keypress: 5
6536.2198 	DATA 	Keypress: 5
6540.2021 	DATA 	Keypress: 5
6540.2024 	DATA 	Keypress: 5
6540.2027 	DATA 	Keypress: 5
6540.2031 	DATA 	Keypress: 5
6542.1891 	DATA 	Keypress: 5
6542.1986 	DATA 	Keypress: 5
6542.2043 	Level Condition: 2 	25
6542.2079 	Level image=tampico.jpg 	25
6544.1869 	Level injecting via pump at address 1 	25
6546.1986 	DATA 	Keypress: 5
6546.1990 	DATA 	Keypress: 5
6546.1993 	DATA 	Keypress: 5
6550.2016 	DATA 	Keypress: 5
6550.2020 	DATA 	Keypress: 5
6550.2022 	DATA 	Keypress: 5
6552.1892 	DATA 	Keypress: 5
6552.1919 	DATA 	Keypress: 5
6552.2038 	Level Condition: 1 	25
6552.2092 	Level image=bottled_water.jpg 	25
6554.1870 	Level injecting via pump at address 1 	25
6556.1988 	DATA 	Keypress: 5
6556.1992 	DATA 	Keypress: 5
