5201.5293 	WARNING 	Movie2 stim could not be imported and won't be available
5249.9342 	DATA 	Keypress: 5
5249.9740 	Level Condition: 0 	25
5249.9868 	Level image=bottled_water.jpg 	25
5251.9662 	Level injecting via pump at address 0 	25
5253.9751 	DATA 	Keypress: 5
5253.9755 	DATA 	Keypress: 5
5253.9758 	DATA 	Keypress: 5
5257.9837 	DATA 	Keypress: 5
5258.0065 	DATA 	Keypress: 5
5258.0071 	DATA 	Keypress: 5
5259.9655 	DATA 	Keypress: 5
5259.9659 	DATA 	Keypress: 5
5259.9901 	Level Condition: 2 	25
5259.9967 	Level image=tampico.jpg 	25
5261.9635 	Level injecting via pump at address 1 	25
5263.9771 	DATA 	Keypress: 5
5263.9774 	DATA 	Keypress: 5
5263.9777 	DATA 	Keypress: 5
5263.9781 	DATA 	Keypress: 5
5267.9785 	DATA 	Keypress: 5
5267.9904 	DATA 	Keypress: 5
5267.9908 	DATA 	Keypress: 5
5269.9656 	DATA 	Keypress: 5
5269.9660 	DATA 	Keypress: 5
5269.9814 	Level Condition: 3 	25
5269.9852 	Level image=tampico.jpg 	25
5271.9635 	Level injecting via pump at address 0 	25
5273.9755 	DATA 	Keypress: 5
5273.9759 	DATA 	Keypress: 5
5273.9761 	DATA 	Keypress: 5
5277.9788 	DATA 	Keypress: 5
5277.9791 	DATA 	Keypress: 5
5277.9794 	DATA 	Keypress: 5
5277.9797 	DATA 	Keypress: 5
5279.9657 	DATA 	Keypress: 5
5279.9856 	Level Condition: 0 	25
5279.9917 	Level image=bottled_water.jpg 	25
5281.9635 	Level injecting via pump at address 0 	25
5283.9755 	DATA 	Keypress: 5
5283.9758 	DATA 	Keypress: 5
5283.9761 	DATA 	Keypress: 5
5283.9790 	DATA 	Keypress: 5
5287.9786 	DATA 	Keypress: 5
5287.9812 	DATA 	Keypress: 5
5287.9818 	DATA 	Keypress: 5
5289.9656 	DATA 	Keypress: 5
5289.9659 	DATA 	Keypress: 5
5289.9742 	Level Condition: 0 	25
5289.9792 	Level image=bottled_water.jpg 	25
5291.9635 	Level injecting via pump at address 0 	25
5293.9913 	DATA 	Keypress: 5
5293.9918 	DATA 	Keypress: 5
5293.9922 	DATA 	Keypress: 5
5297.9785 	DATA 	Keypress: 5
5297.9790 	DATA 	Keypress: 5
5297.9793 	DATA 	Keypress: 5
5297.9796 	DATA 	Keypress: 5
5299.9658 	DATA 	Keypress: 5
5299.9661 	DATA 	Keypress: 5
5299.9768 	Level Condition: 3 	25
5299.9801 	Level image=tampico.jpg 	25
5301.9636 	Level injecting via pump at address 0 	25
5303.9749 	DATA 	Keypress: 5
5303.9763 	DATA 	Keypress: 5
5303.9766 	DATA 	Keypress: 5
5307.9898 	DATA 	Keypress: 5
5307.9988 	DATA 	Keypress: 5
5307.9992 	DATA 	Keypress: 5
5307.9996 	DATA 	Keypress: 5
5309.9658 	DATA 	Keypress: 5
5309.9805 	Level Condition: 2 	25
5309.9843 	Level image=tampico.jpg 	25
5311.9635 	Level injecting via pump at address 1 	25
5313.9750 	DATA 	Keypress: 5
5313.9754 	DATA 	Keypress: 5
5313.9784 	DATA 	Keypress: 5
5313.9790 	DATA 	Keypress: 5
5317.9782 	DATA 	Keypress: 5
5317.9786 	DATA 	Keypress: 5
5317.9788 	DATA 	Keypress: 5
5319.9657 	DATA 	Keypress: 5
5319.9684 	DATA 	Keypress: 5
5319.9791 	Level Condition: 2 	25
5319.9824 	Level image=tampico.jpg 	25
5321.9635 	Level injecting via pump at address 1 	25
5323.9749 	DATA 	Keypress: 5
5323.9753 	DATA 	Keypress: 5
5323.9755 	DATA 	Keypress: 5
5327.9786 	DATA 	Keypress: 5
5327.9789 	DATA 	Keypress: 5
5327.9792 	DATA 	Keypress: 5
5327.9795 	DATA 	Keypress: 5
5329.9658 	DATA 	Keypress: 5
5329.9784 	Level Condition: 2 	25
5329.9815 	Level image=tampico.jpg 	25
5330.0042 	DATA 	Keypress: 5
5331.9635 	Level injecting via pump at address 1 	25
5333.9746 	DATA 	Keypress: 5
5333.9750 	DATA 	Keypress: 5
5333.9952 	DATA 	Keypress: 5
5337.9791 	DATA 	Keypress: 5
5337.9794 	DATA 	Keypress: 5
5337.9797 	DATA 	Keypress: 5
5339.9658 	DATA 	Keypress: 5
5339.9661 	DATA 	Keypress: 5
5339.9814 	Level Condition: 0 	25
5339.9872 	Level image=bottled_water.jpg 	25
5341.9635 	Level injecting via pump at address 0 	25
5343.9750 	DATA 	Keypress: 5
5343.9754 	DATA 	Keypress: 5
5343.9757 	DATA 	Keypress: 5
5343.9761 	DATA 	Keypress: 5
5348.0180 	DATA 	Keypress: 5
